Product ID,Category,Base Price,Optimal Price,Price Adjustment %,Expected Units,Expected Revenue
P0001,Groceries,33.5,40.199999999999996,20.0,118.6715984387054,4770.598257235956
P0002,Toys,63.01,75.612,20.0,99.5723177539194,7528.862090009354
P0003,Toys,27.989999999999995,33.587999999999994,20.0,52.93336653950645,1777.9259153289424
P0004,Toys,32.72,39.263999999999996,20.0,240.89051604340864,9458.325221928395
P0005,Electronics,73.64,88.368,20.0,84.84453985694923,7497.542298078889
P0006,Groceries,76.83,92.196,20.0,66.98366386279972,6175.625873494682
P0007,Furniture,34.16,40.992,20.0,188.2036363777324,7714.8434623960065
P0008,Clothing,97.99,117.588,20.0,179.0370103255147,21052.603970156622
P0009,Electronics,20.74,24.887999999999998,20.0,87.9996573627632,2190.1354724444504
P0010,Toys,59.99,71.988,20.0,51.81689536673259,3730.1946636603457
P0011,Furniture,58.53000000000001,70.236,20.0,124.53318967305009,8746.713109876346
P0012,Clothing,58.24999999999999,69.89999999999999,20.0,34.63098839538745,2420.7060888375822
P0013,Toys,43.6,52.32,20.0,50.07288001694263,2619.8130824864384
P0014,Clothing,78.11,93.732,20.0,95.18567947926725,8921.944108950678
P0015,Clothing,92.99,111.588,20.0,233.9291831223162,26103.68968625302
P0016,Electronics,21.9,26.279999999999998,20.0,188.75512847892387,4960.4847764261185
P0017,Toys,21.07,25.284,20.0,156.335962771236,3952.7984827079313
P0018,Clothing,19.57,23.483999999999998,20.0,123.24845934955879,2894.3668193650383
P0019,Clothing,73.28,87.93599999999999,20.0,179.35285440397516,15771.572604867959
P0020,Toys,30.24,36.288,20.0,139.94964748345336,5078.492807879555
